param_name,fisher_value,dataset
model.layers.16.self_attn.v_proj.weight,0.03669957181379383,wikitext
model.layers.11.self_attn.k_proj.weight,0.03436941367347875,wikitext
model.layers.15.self_attn.k_proj.weight,0.03250741430830809,wikitext
model.layers.8.self_attn.k_proj.weight,0.032380724478495417,wikitext
model.layers.23.self_attn.k_proj.weight,0.030752838443504515,wikitext
model.layers.23.self_attn.v_proj.weight,0.030702096154830844,wikitext
model.layers.21.self_attn.k_proj.weight,0.03003750071131132,wikitext
model.layers.1.mlp.gate_proj.weight,0.02816697125066033,wikitext
model.layers.10.self_attn.k_proj.weight,0.028017231332796655,wikitext
model.layers.22.self_attn.k_proj.weight,0.02715716935108503,wikitext
model.layers.25.self_attn.v_proj.weight,0.026834427871714677,wikitext
model.layers.22.self_attn.v_proj.weight,0.02628535460614027,wikitext
model.layers.14.self_attn.k_proj.weight,0.025635053251752044,wikitext
model.layers.18.self_attn.k_proj.weight,0.02537790493806824,wikitext
model.layers.1.mlp.down_proj.weight,0.02511938860667821,wikitext
model.layers.20.self_attn.k_proj.weight,0.024722467252862163,wikitext
model.layers.2.mlp.up_proj.weight,0.023162559397860605,wikitext
model.layers.27.self_attn.v_proj.weight,0.022812401127036235,wikitext
model.layers.12.self_attn.k_proj.weight,0.022559460727469133,wikitext
model.layers.3.self_attn.o_proj.weight,0.022420072893813387,wikitext
model.layers.7.self_attn.k_proj.weight,0.021701031406488863,wikitext
model.layers.24.self_attn.k_proj.weight,0.021439100519652737,wikitext
model.layers.2.self_attn.o_proj.weight,0.02098852236925571,wikitext
model.layers.24.self_attn.v_proj.weight,0.02032826671499303,wikitext
model.layers.3.mlp.up_proj.weight,0.020082548091219603,wikitext
model.layers.16.self_attn.k_proj.weight,0.019194350802081317,wikitext
model.layers.11.self_attn.o_proj.weight,0.01802411610371261,wikitext
model.layers.4.self_attn.o_proj.weight,0.017502005745427596,wikitext
model.layers.10.self_attn.o_proj.weight,0.016826458963199304,wikitext
model.layers.27.mlp.down_proj.weight,0.016797155063310736,wikitext
model.layers.5.self_attn.o_proj.weight,0.0167813472336699,wikitext
model.layers.15.self_attn.o_proj.weight,0.016727912245263116,wikitext
model.layers.27.self_attn.o_proj.weight,0.0149223437369983,wikitext
model.layers.13.self_attn.o_proj.weight,0.014893907968523004,wikitext
model.layers.7.self_attn.o_proj.weight,0.014481398871415271,wikitext
model.layers.9.self_attn.o_proj.weight,0.014176649088919172,wikitext
model.layers.4.mlp.up_proj.weight,0.013507955128716276,wikitext
model.layers.5.mlp.up_proj.weight,0.013340850943753443,wikitext
model.layers.27.self_attn.q_proj.weight,0.013164514829137866,wikitext
model.layers.0.mlp.down_proj.weight,0.012700861345592784,wikitext
model.layers.2.mlp.gate_proj.weight,0.012397168977410425,wikitext
model.layers.8.self_attn.o_proj.weight,0.011320243255340756,wikitext
model.layers.27.mlp.up_proj.weight,0.01041625006716155,wikitext
model.layers.16.self_attn.o_proj.weight,0.010406355106397314,wikitext
model.layers.18.self_attn.o_proj.weight,0.010242630865301786,wikitext
model.layers.12.self_attn.o_proj.weight,0.009959870787762762,wikitext
model.layers.6.self_attn.o_proj.weight,0.009794007735990817,wikitext
model.layers.3.mlp.gate_proj.weight,0.009598165494253408,wikitext
model.layers.3.mlp.down_proj.weight,0.009587475618066795,wikitext
model.layers.25.self_attn.q_proj.weight,0.009177353397963847,wikitext
model.layers.26.self_attn.v_proj.weight,0.008957118888550516,wikitext
model.layers.5.mlp.gate_proj.weight,0.00874033329902583,wikitext
model.layers.4.mlp.down_proj.weight,0.008443765179890761,wikitext
model.layers.14.self_attn.o_proj.weight,0.008443705751915331,wikitext
model.layers.1.self_attn.k_proj.weight,0.008251707942766492,wikitext
model.layers.20.self_attn.o_proj.weight,0.007751893922090858,wikitext
model.layers.0.mlp.up_proj.weight,0.007334927220729999,wikitext
model.layers.0.mlp.gate_proj.weight,0.007126358845046828,wikitext
model.layers.4.mlp.gate_proj.weight,0.007015368382099041,wikitext
model.layers.5.mlp.down_proj.weight,0.006873025252464989,wikitext
model.layers.19.self_attn.o_proj.weight,0.006568926381608738,wikitext
model.layers.27.mlp.gate_proj.weight,0.006535974969741194,wikitext
model.layers.0.self_attn.q_proj.weight,0.006464056876552604,wikitext
model.layers.17.self_attn.o_proj.weight,0.006379460834106491,wikitext
model.layers.6.mlp.up_proj.weight,0.006295214671960518,wikitext
model.layers.26.mlp.down_proj.weight,0.00562551739585615,wikitext
model.layers.21.self_attn.o_proj.weight,0.005541216792835257,wikitext
model.layers.6.mlp.down_proj.weight,0.005414875412498077,wikitext
model.layers.26.self_attn.q_proj.weight,0.0051874307786382206,wikitext
model.layers.7.mlp.up_proj.weight,0.0051273196738369125,wikitext
model.layers.7.mlp.down_proj.weight,0.004838446829846059,wikitext
model.layers.5.self_attn.q_proj.weight,0.0046467563748061975,wikitext
model.layers.8.mlp.up_proj.weight,0.0045416258199869235,wikitext
model.layers.8.mlp.down_proj.weight,0.00444467203772092,wikitext
model.layers.6.mlp.gate_proj.weight,0.004349036625020138,wikitext
model.layers.26.self_attn.o_proj.weight,0.004089700467848918,wikitext
model.layers.3.self_attn.q_proj.weight,0.004047859356357246,wikitext
model.layers.25.self_attn.o_proj.weight,0.003888221646434431,wikitext
model.layers.9.mlp.up_proj.weight,0.0038757702747413227,wikitext
model.layers.9.self_attn.q_proj.weight,0.0038082523354982336,wikitext
model.layers.22.self_attn.o_proj.weight,0.003750402649757234,wikitext
model.layers.7.mlp.gate_proj.weight,0.003730547820358273,wikitext
model.layers.26.mlp.up_proj.weight,0.0036174340400142078,wikitext
model.layers.26.mlp.gate_proj.weight,0.0035768763012432223,wikitext
model.layers.9.mlp.down_proj.weight,0.0035352854337133977,wikitext
model.layers.23.self_attn.o_proj.weight,0.0035065285885404287,wikitext
model.layers.8.mlp.gate_proj.weight,0.003329330394024055,wikitext
model.layers.23.mlp.down_proj.weight,0.0032688316058890146,wikitext
model.layers.4.self_attn.q_proj.weight,0.0032331806318855647,wikitext
model.layers.10.mlp.up_proj.weight,0.0032073907647524416,wikitext
model.layers.22.mlp.down_proj.weight,0.0031595241107046,wikitext
model.layers.10.mlp.down_proj.weight,0.003004180114032806,wikitext
model.layers.9.mlp.gate_proj.weight,0.003002647928042279,wikitext
model.layers.11.mlp.up_proj.weight,0.002990470164964639,wikitext
model.layers.24.mlp.up_proj.weight,0.0029593036424557795,wikitext
model.layers.21.self_attn.q_proj.weight,0.0029260100913575116,wikitext
model.layers.24.mlp.down_proj.weight,0.0029212889365339834,wikitext
model.layers.16.self_attn.q_proj.weight,0.002907514244858097,wikitext
model.layers.2.self_attn.q_proj.weight,0.002893961127502583,wikitext
model.layers.11.mlp.down_proj.weight,0.0028787621247943207,wikitext
model.layers.8.self_attn.q_proj.weight,0.00287482242052306,wikitext
model.layers.17.self_attn.q_proj.weight,0.0028615532324730943,wikitext
model.layers.6.self_attn.q_proj.weight,0.0028543443002604363,wikitext
model.layers.25.mlp.up_proj.weight,0.0028363494774149936,wikitext
model.layers.25.mlp.down_proj.weight,0.002830150325583721,wikitext
model.layers.21.mlp.down_proj.weight,0.0028255025298449254,wikitext
model.layers.19.mlp.up_proj.weight,0.00280358442233819,wikitext
model.layers.14.self_attn.q_proj.weight,0.002793492352149466,wikitext
model.layers.11.self_attn.q_proj.weight,0.002771138461156397,wikitext
model.layers.22.mlp.up_proj.weight,0.0027668353205096232,wikitext
model.layers.24.self_attn.o_proj.weight,0.002741652843440079,wikitext
model.layers.21.mlp.up_proj.weight,0.0027240954767648873,wikitext
model.layers.12.self_attn.q_proj.weight,0.002715382929570372,wikitext
model.layers.25.mlp.gate_proj.weight,0.002684445985570013,wikitext
model.layers.12.mlp.up_proj.weight,0.002657584846986083,wikitext
model.layers.23.mlp.up_proj.weight,0.0026191085217988075,wikitext
model.layers.19.mlp.down_proj.weight,0.0025703198692023457,wikitext
model.layers.10.self_attn.q_proj.weight,0.0025701582338418425,wikitext
model.layers.18.self_attn.q_proj.weight,0.002568254069425772,wikitext
model.layers.24.mlp.gate_proj.weight,0.0025038025908277937,wikitext
model.layers.10.mlp.gate_proj.weight,0.002503280201134809,wikitext
model.layers.18.mlp.up_proj.weight,0.002449283940923882,wikitext
model.layers.12.mlp.down_proj.weight,0.0024373238256127174,wikitext
model.layers.23.self_attn.q_proj.weight,0.0024353196214595605,wikitext
model.layers.14.mlp.up_proj.weight,0.002361565029313321,wikitext
model.layers.22.mlp.gate_proj.weight,0.0023578120893716914,wikitext
model.layers.23.mlp.gate_proj.weight,0.002318525216802906,wikitext
model.layers.20.self_attn.q_proj.weight,0.002301414550942127,wikitext
model.layers.16.mlp.up_proj.weight,0.002269739995587846,wikitext
model.layers.17.mlp.up_proj.weight,0.002211468606086934,wikitext
model.layers.11.mlp.gate_proj.weight,0.002188080057427063,wikitext
model.layers.13.self_attn.q_proj.weight,0.0021649676534707396,wikitext
model.layers.13.mlp.up_proj.weight,0.002137969813380399,wikitext
model.layers.21.mlp.gate_proj.weight,0.002133446272599334,wikitext
model.layers.19.mlp.gate_proj.weight,0.002089625790915761,wikitext
model.layers.20.mlp.up_proj.weight,0.002076750557402344,wikitext
model.layers.20.mlp.down_proj.weight,0.0020400353308029175,wikitext
model.layers.13.mlp.down_proj.weight,0.0020144834672256215,wikitext
model.layers.22.self_attn.q_proj.weight,0.0020143958125800054,wikitext
model.layers.15.mlp.up_proj.weight,0.0019952280055690608,wikitext
model.layers.12.mlp.gate_proj.weight,0.0019460581518349802,wikitext
model.layers.7.self_attn.q_proj.weight,0.0019412195219103978,wikitext
model.layers.15.self_attn.q_proj.weight,0.0018745025107023139,wikitext
model.layers.18.mlp.down_proj.weight,0.0018740839054582163,wikitext
model.layers.24.self_attn.q_proj.weight,0.0018564651531486713,wikitext
model.layers.14.mlp.down_proj.weight,0.0018556231193353294,wikitext
model.layers.13.mlp.gate_proj.weight,0.0017997802550648128,wikitext
model.layers.14.mlp.gate_proj.weight,0.001798872503561218,wikitext
model.layers.15.mlp.down_proj.weight,0.0017826604553761172,wikitext
model.layers.17.mlp.down_proj.weight,0.001761454423520566,wikitext
model.layers.19.self_attn.q_proj.weight,0.0017516101090772433,wikitext
model.layers.18.mlp.gate_proj.weight,0.0017508674919781697,wikitext
model.layers.16.mlp.down_proj.weight,0.0017488597610414065,wikitext
model.layers.20.mlp.gate_proj.weight,0.0016305675410327087,wikitext
model.layers.16.mlp.gate_proj.weight,0.0015601521500438291,wikitext
model.layers.17.mlp.gate_proj.weight,0.0015514942382897818,wikitext
model.layers.15.mlp.gate_proj.weight,0.0015175551459284027,wikitext
model.layers.1.self_attn.q_proj.weight,0.0010073431873252048,wikitext
