module_type,mean_fisher_mean,max_fisher_mean,min_fisher_mean,std_fisher_mean,count
embedding,11.359272232744843,11.359272232744843,11.359272232744843,0.0,1
attention,2.2219444261602277,33.22941913455725,0.025902343101734004,3.9845578679814304,128
mlp,4.652614651334261,17.085749613586813,1.0883007197699044,2.6462419743889023,64
layernorm,3.324094257677271,60.72382725775242,0.03680496669721833,11.057240804738043,33
other,51.873188897036016,51.873188897036016,51.873188897036016,0.0,1
