param_name,fisher_value,zone,dataset
model.layers.2.self_attn.dense.weight,5.683708488475531,C,math
model.layers.12.mlp.fc1.weight,5.654764291481115,C,math
model.layers.13.mlp.fc1.weight,5.446894928347319,C,math
model.layers.11.mlp.fc2.weight,5.359566825907677,C,math
model.layers.12.mlp.fc2.weight,5.260120655875653,C,math
model.layers.26.self_attn.k_proj.weight,5.235729422885925,C,math
model.layers.12.self_attn.v_proj.weight,5.1042157269548625,C,math
model.layers.22.mlp.fc1.weight,5.0739740506978706,C,math
model.layers.30.self_attn.v_proj.weight,4.966705694328994,C,math
model.layers.15.mlp.fc1.weight,4.940292430343106,C,math
model.layers.14.self_attn.v_proj.weight,4.911570281139575,C,math
model.layers.16.mlp.fc1.weight,4.867348060943186,C,math
model.layers.23.mlp.fc1.weight,4.851678298902698,C,math
model.layers.15.self_attn.v_proj.weight,4.803599165286869,C,math
model.layers.19.mlp.fc1.weight,4.7963254251517355,C,math
model.layers.25.mlp.fc1.weight,4.792202827637084,C,math
model.layers.18.mlp.fc1.weight,4.75410011142958,C,math
model.layers.13.mlp.fc2.weight,4.727090739179403,C,math
model.layers.20.mlp.fc1.weight,4.7180575197562575,C,math
model.layers.21.mlp.fc1.weight,4.684413489652798,C,math
model.layers.13.self_attn.v_proj.weight,4.6819853242486715,C,math
model.layers.27.mlp.fc1.weight,4.678887396468781,C,math
model.layers.14.mlp.fc1.weight,4.670370842795819,C,math
model.layers.26.mlp.fc1.weight,4.653128818143159,C,math
model.layers.24.mlp.fc1.weight,4.611525426153094,C,math
model.layers.17.mlp.fc1.weight,4.581421064212918,C,math
model.layers.15.mlp.fc2.weight,4.545105865574442,C,math
model.layers.16.self_attn.v_proj.weight,4.463848000392318,C,math
model.layers.1.mlp.fc1.weight,4.456804809975438,C,math
model.layers.14.mlp.fc2.weight,4.418238505488262,C,math
model.layers.17.mlp.fc2.weight,4.302042189519852,C,math
model.layers.16.mlp.fc2.weight,4.231956549920142,C,math
model.layers.3.self_attn.dense.weight,4.193738381145522,C,math
model.layers.18.mlp.fc2.weight,4.120969828218222,C,math
model.layers.28.mlp.fc1.weight,4.090911621111445,C,math
model.layers.10.self_attn.q_proj.weight,4.043902466655709,C,math
model.layers.17.self_attn.v_proj.weight,3.95693495857995,C,math
model.layers.19.mlp.fc2.weight,3.8654209268279374,C,math
model.layers.20.mlp.fc2.weight,3.775729766523,C,math
model.layers.0.mlp.fc2.weight,3.760628068353981,C,math
model.layers.21.mlp.fc2.weight,3.6967687262804247,C,math
model.layers.18.self_attn.v_proj.weight,3.692503722384572,C,math
model.layers.22.mlp.fc2.weight,3.5778099617455155,C,math
model.layers.19.self_attn.v_proj.weight,3.273333213001024,C,math
model.layers.21.self_attn.v_proj.weight,3.231722080439795,C,math
model.layers.23.mlp.fc2.weight,3.205079658771865,C,math
model.layers.22.self_attn.v_proj.weight,3.1112692782189697,C,math
model.layers.27.input_layernorm.weight,2.7541436420287937,C,math
model.layers.20.self_attn.v_proj.weight,2.7470402909675613,C,math
model.layers.10.self_attn.k_proj.weight,2.739435788069386,C,math
model.layers.23.self_attn.v_proj.weight,2.7298783833393827,C,math
model.layers.24.mlp.fc2.weight,2.7195096680661663,C,math
model.layers.5.self_attn.dense.weight,2.6191738902125508,C,math
model.layers.25.self_attn.v_proj.weight,2.6178484759293497,C,math
model.layers.24.self_attn.v_proj.weight,2.5631494153640233,C,math
model.layers.4.self_attn.dense.weight,2.561652556527406,C,math
model.layers.25.mlp.fc2.weight,2.508605341077782,C,math
model.layers.26.mlp.fc2.weight,2.267938620992936,C,math
model.layers.26.self_attn.v_proj.weight,2.200439946143888,C,math
model.layers.27.self_attn.v_proj.weight,2.1762338967528194,C,math
model.layers.29.mlp.fc2.weight,2.0498957387171686,C,math
model.layers.31.self_attn.v_proj.weight,1.862861646048259,C,math
model.layers.27.mlp.fc2.weight,1.8246462596580386,C,math
model.layers.28.self_attn.v_proj.weight,1.7961245838087052,C,math
model.layers.30.mlp.fc2.weight,1.7603719546459615,C,math
model.layers.28.mlp.fc2.weight,1.6590337393572554,C,math
model.layers.7.self_attn.dense.weight,1.4848304198822007,C,math
model.layers.0.mlp.fc1.weight,1.4824045950663276,C,math
model.layers.31.mlp.fc2.weight,1.45806013076799,C,math
model.layers.6.self_attn.dense.weight,1.4571767438901588,C,math
model.layers.10.self_attn.dense.weight,1.441461551003158,C,math
model.layers.8.self_attn.q_proj.weight,1.4054044047661591,C,math
model.layers.11.self_attn.dense.weight,1.225894169358071,C,math
model.layers.27.self_attn.k_proj.weight,1.1493057023035362,C,math
model.layers.4.self_attn.q_proj.weight,1.1332510218780953,C,math
model.layers.9.self_attn.dense.weight,1.1154293211875483,C,math
model.layers.4.self_attn.k_proj.weight,1.1018785419873893,C,math
model.layers.8.self_attn.dense.weight,1.0729402740544174,C,math
model.layers.21.self_attn.dense.weight,1.064613809430739,C,math
model.layers.8.self_attn.k_proj.weight,1.0644569237774704,C,math
model.layers.29.self_attn.dense.weight,0.9730293289176188,C,math
model.layers.25.self_attn.k_proj.weight,0.847507021331694,C,math
model.layers.30.self_attn.dense.weight,0.8445011771400459,C,math
model.layers.22.self_attn.k_proj.weight,0.8197377935284749,C,math
model.layers.24.self_attn.dense.weight,0.8028351645334624,C,math
model.layers.24.self_attn.q_proj.weight,0.8004188183986116,C,math
model.layers.12.self_attn.dense.weight,0.7818410051986575,C,math
model.layers.20.self_attn.dense.weight,0.7518272161541972,C,math
model.layers.3.self_attn.q_proj.weight,0.7450179036823101,C,math
model.layers.22.self_attn.dense.weight,0.7423960726882797,C,math
model.layers.14.self_attn.dense.weight,0.7284488815639634,C,math
model.layers.11.self_attn.q_proj.weight,0.724196551804198,C,math
model.layers.23.self_attn.dense.weight,0.7241941971587949,C,math
model.layers.19.self_attn.dense.weight,0.7101065273745917,C,math
model.layers.0.self_attn.k_proj.weight,0.7032157505309442,C,math
model.layers.24.self_attn.k_proj.weight,0.7030781363864662,C,math
model.layers.15.self_attn.dense.weight,0.7013887906505261,C,math
model.layers.23.self_attn.k_proj.weight,0.6980198998644482,C,math
model.layers.6.self_attn.q_proj.weight,0.6957129490619991,C,math
model.layers.9.self_attn.q_proj.weight,0.6907753467385191,C,math
model.layers.18.self_attn.dense.weight,0.6835372800123878,C,math
model.layers.25.self_attn.dense.weight,0.6810975072148722,C,math
model.layers.13.self_attn.dense.weight,0.6681649017846212,C,math
model.layers.3.self_attn.k_proj.weight,0.6667679085512646,C,math
model.layers.25.self_attn.q_proj.weight,0.6647118937689811,C,math
model.layers.22.self_attn.q_proj.weight,0.6611149291711627,C,math
model.layers.11.self_attn.k_proj.weight,0.644230784237152,C,math
model.layers.5.self_attn.k_proj.weight,0.6422461664769799,C,math
model.layers.17.self_attn.dense.weight,0.6393601970048621,C,math
model.layers.27.self_attn.q_proj.weight,0.6365438214415917,C,math
model.layers.5.self_attn.q_proj.weight,0.6255618873983622,C,math
model.layers.16.self_attn.dense.weight,0.6162495301687159,C,math
model.layers.6.self_attn.k_proj.weight,0.6156086729606614,C,math
model.layers.21.self_attn.k_proj.weight,0.6082309144258033,C,math
model.layers.28.self_attn.k_proj.weight,0.5975602500548121,C,math
model.layers.23.self_attn.q_proj.weight,0.5926308210182469,C,math
model.layers.7.self_attn.q_proj.weight,0.5874005705700256,C,math
model.layers.9.self_attn.k_proj.weight,0.571925936936168,C,math
model.layers.14.self_attn.q_proj.weight,0.5605444153188728,C,math
model.layers.0.input_layernorm.weight,0.5386719483212801,C,math
model.layers.10.input_layernorm.weight,0.5344929766470159,C,math
model.layers.28.self_attn.q_proj.weight,0.5274081442476017,C,math
model.layers.14.self_attn.k_proj.weight,0.5264191037858836,C,math
model.layers.7.self_attn.k_proj.weight,0.5221711910853628,C,math
model.layers.27.self_attn.dense.weight,0.5212239217944443,C,math
model.layers.21.self_attn.q_proj.weight,0.5172100359050091,C,math
model.layers.15.self_attn.k_proj.weight,0.5007206200971268,C,math
model.layers.18.self_attn.q_proj.weight,0.49630720193090383,C,math
model.layers.15.self_attn.q_proj.weight,0.49156466699787416,C,math
model.layers.19.self_attn.q_proj.weight,0.47739306339644827,C,math
model.layers.19.self_attn.k_proj.weight,0.4727653906593332,C,math
model.layers.18.self_attn.k_proj.weight,0.46965413574071135,C,math
model.layers.2.self_attn.k_proj.weight,0.46589610932278447,C,math
model.layers.16.self_attn.q_proj.weight,0.43022336752619594,C,math
model.layers.29.self_attn.q_proj.weight,0.42855133429111447,C,math
model.layers.28.self_attn.dense.weight,0.42489342961926013,C,math
model.layers.20.self_attn.q_proj.weight,0.42226150032365695,C,math
model.layers.31.self_attn.dense.weight,0.42112200091651175,C,math
model.layers.23.input_layernorm.weight,0.42077129722747486,C,math
model.layers.2.self_attn.q_proj.weight,0.4029720315011218,C,math
model.layers.26.self_attn.dense.weight,0.4004419483244419,C,math
model.layers.16.self_attn.k_proj.weight,0.389087961462792,C,math
model.layers.13.self_attn.q_proj.weight,0.3887591906823218,C,math
model.layers.26.self_attn.q_proj.weight,0.387158423603978,C,math
model.layers.0.self_attn.q_proj.weight,0.38255364376527723,C,math
model.layers.20.self_attn.k_proj.weight,0.37500447675120085,C,math
model.layers.17.self_attn.q_proj.weight,0.3742646556929685,C,math
model.layers.12.self_attn.q_proj.weight,0.3721382885996718,C,math
model.layers.18.input_layernorm.weight,0.3707560010443558,C,math
model.layers.13.self_attn.k_proj.weight,0.3654871228209231,C,math
model.layers.17.self_attn.k_proj.weight,0.34516003317548893,C,math
model.layers.12.self_attn.k_proj.weight,0.31942679052008316,C,math
model.layers.9.input_layernorm.weight,0.29823424082860583,C,math
model.layers.1.self_attn.k_proj.weight,0.2687064136407571,C,math
model.layers.4.input_layernorm.weight,0.2653368023566145,C,math
model.layers.6.input_layernorm.weight,0.22317048885270196,C,math
model.layers.22.input_layernorm.weight,0.2176881685918488,C,math
model.layers.21.input_layernorm.weight,0.19946073524624808,C,math
model.layers.5.input_layernorm.weight,0.17154371011565672,C,math
model.layers.1.self_attn.q_proj.weight,0.156335604020569,C,math
model.layers.8.input_layernorm.weight,0.13678739933675388,C,math
model.layers.3.input_layernorm.weight,0.1307783645024756,C,math
model.layers.25.input_layernorm.weight,0.10564963849901687,C,math
model.layers.20.input_layernorm.weight,0.10229326460375887,C,math
model.layers.30.self_attn.q_proj.weight,0.10180208396923263,C,math
model.final_layernorm.weight,0.10105155083692807,C,math
model.layers.2.input_layernorm.weight,0.09988993313891115,C,math
model.layers.1.input_layernorm.weight,0.09523313840327319,C,math
model.layers.7.input_layernorm.weight,0.09511172657221323,C,math
model.layers.11.input_layernorm.weight,0.07365358190600091,C,math
model.layers.13.input_layernorm.weight,0.06022549738918315,C,math
model.layers.28.input_layernorm.weight,0.05798293459611159,C,math
model.layers.24.input_layernorm.weight,0.05715707805939019,C,math
model.layers.14.input_layernorm.weight,0.052976012905674,C,math
model.layers.12.input_layernorm.weight,0.04963788708118955,C,math
model.layers.15.input_layernorm.weight,0.04533866479687276,C,math
model.layers.19.input_layernorm.weight,0.044383553423358535,C,math
model.layers.16.input_layernorm.weight,0.04259097409885726,C,math
model.layers.17.input_layernorm.weight,0.04106815949671727,C,math
model.layers.31.self_attn.q_proj.weight,0.02998107235725911,C,math
