param_name,fisher_value,zone,dataset
model.layers.7.input_layernorm.weight,0.16266742032409334,B,gsm8k
model.layers.27.post_attention_layernorm.weight,0.16098520720455176,B,gsm8k
model.layers.26.post_attention_layernorm.weight,0.15846661005343776,B,gsm8k
model.layers.13.input_layernorm.weight,0.15726807573325155,B,gsm8k
model.layers.2.input_layernorm.weight,0.15311252089789681,B,gsm8k
model.layers.6.input_layernorm.weight,0.1478035517842121,B,gsm8k
model.layers.27.input_layernorm.weight,0.1348187758170146,B,gsm8k
model.layers.21.input_layernorm.weight,0.12676681690694144,B,gsm8k
model.layers.17.input_layernorm.weight,0.12315242063777987,B,gsm8k
model.layers.18.input_layernorm.weight,0.12117491028038785,B,gsm8k
model.layers.9.input_layernorm.weight,0.1200971382932039,B,gsm8k
model.layers.10.input_layernorm.weight,0.11895262636244297,B,gsm8k
model.layers.15.input_layernorm.weight,0.11709153807411592,B,gsm8k
model.layers.27.self_attn.k_proj.weight,0.11082280721408704,B,gsm8k
model.layers.19.input_layernorm.weight,0.10884787165559828,B,gsm8k
model.layers.8.input_layernorm.weight,0.10688621507627734,B,gsm8k
model.layers.3.post_attention_layernorm.weight,0.09212348330280899,B,gsm8k
model.layers.12.input_layernorm.weight,0.09117545270419214,B,gsm8k
model.layers.23.post_attention_layernorm.weight,0.0884532119234791,B,gsm8k
model.layers.1.self_attn.v_proj.weight,0.08781922572719243,B,gsm8k
model.layers.5.post_attention_layernorm.weight,0.0860757903404495,B,gsm8k
model.layers.16.input_layernorm.weight,0.08291053559514694,B,gsm8k
model.layers.19.self_attn.v_proj.weight,0.08214976242743433,B,gsm8k
model.norm.weight,0.08037626806374949,C,gsm8k
model.layers.2.post_attention_layernorm.weight,0.07924597993890832,C,gsm8k
model.layers.24.post_attention_layernorm.weight,0.0767506916745333,C,gsm8k
model.layers.22.input_layernorm.weight,0.07505552141810767,C,gsm8k
model.layers.15.self_attn.v_proj.weight,0.07279068498852818,C,gsm8k
model.layers.25.post_attention_layernorm.weight,0.07208858559412572,C,gsm8k
model.layers.11.self_attn.v_proj.weight,0.06605758260169144,C,gsm8k
model.layers.7.self_attn.v_proj.weight,0.061304373632689625,C,gsm8k
model.layers.17.self_attn.v_proj.weight,0.0612636554724304,C,gsm8k
model.layers.14.input_layernorm.weight,0.060928681644630465,C,gsm8k
model.layers.6.self_attn.v_proj.weight,0.059759107876743656,C,gsm8k
model.layers.3.self_attn.v_proj.weight,0.05949545169763345,C,gsm8k
model.layers.1.post_attention_layernorm.weight,0.05766556614253204,C,gsm8k
model.layers.26.self_attn.k_proj.weight,0.0538059261671151,C,gsm8k
model.layers.24.input_layernorm.weight,0.05314151693649668,C,gsm8k
model.layers.23.input_layernorm.weight,0.052628930815747786,C,gsm8k
model.layers.14.self_attn.v_proj.weight,0.051279592325348254,C,gsm8k
model.layers.13.self_attn.v_proj.weight,0.0507212697872698,C,gsm8k
model.layers.10.self_attn.v_proj.weight,0.04933930775587214,C,gsm8k
model.layers.11.self_attn.k_proj.weight,0.04746227716168505,C,gsm8k
model.layers.0.self_attn.o_proj.weight,0.046526400527606405,C,gsm8k
model.layers.4.self_attn.v_proj.weight,0.04608415584516479,C,gsm8k
model.layers.17.self_attn.k_proj.weight,0.045483987637756705,C,gsm8k
model.layers.19.self_attn.k_proj.weight,0.045275796745651554,C,gsm8k
model.layers.8.self_attn.v_proj.weight,0.0443363506346941,C,gsm8k
model.layers.5.self_attn.v_proj.weight,0.043147646421857644,C,gsm8k
model.layers.2.self_attn.v_proj.weight,0.04253055017761653,C,gsm8k
model.layers.25.self_attn.k_proj.weight,0.041694588117631305,C,gsm8k
model.layers.18.self_attn.v_proj.weight,0.04067606129683554,C,gsm8k
model.layers.20.self_attn.v_proj.weight,0.040399520825303625,C,gsm8k
model.layers.16.self_attn.k_proj.weight,0.03998877776090618,C,gsm8k
model.layers.9.self_attn.v_proj.weight,0.03932362163808042,C,gsm8k
model.layers.12.self_attn.v_proj.weight,0.038974139836985465,C,gsm8k
model.layers.21.self_attn.v_proj.weight,0.0388025653543688,C,gsm8k
model.layers.23.self_attn.k_proj.weight,0.03795647688578659,C,gsm8k
model.layers.16.self_attn.v_proj.weight,0.0369223529608765,C,gsm8k
model.layers.13.self_attn.k_proj.weight,0.03557713375388024,C,gsm8k
model.layers.26.input_layernorm.weight,0.03536469254322583,C,gsm8k
model.layers.15.self_attn.k_proj.weight,0.035131119167393386,C,gsm8k
model.layers.9.self_attn.k_proj.weight,0.03361417126143351,C,gsm8k
model.layers.25.input_layernorm.weight,0.03300846397784577,C,gsm8k
model.layers.23.self_attn.v_proj.weight,0.03209301588988941,C,gsm8k
model.layers.20.self_attn.k_proj.weight,0.03039966064534383,C,gsm8k
model.layers.5.self_attn.k_proj.weight,0.029340019484758766,C,gsm8k
model.layers.18.self_attn.k_proj.weight,0.028347712162940297,C,gsm8k
model.layers.22.self_attn.k_proj.weight,0.027717173430573894,C,gsm8k
model.layers.22.self_attn.v_proj.weight,0.025429555370161932,C,gsm8k
model.layers.24.self_attn.k_proj.weight,0.02477782614247796,C,gsm8k
model.layers.14.self_attn.k_proj.weight,0.02348440410969488,C,gsm8k
model.layers.21.self_attn.k_proj.weight,0.022788255249300466,C,gsm8k
model.layers.1.mlp.down_proj.weight,0.02241749470825501,C,gsm8k
model.layers.3.self_attn.k_proj.weight,0.02171089913038789,C,gsm8k
model.layers.10.self_attn.k_proj.weight,0.021685732529779973,C,gsm8k
model.layers.12.self_attn.k_proj.weight,0.020589218420961213,C,gsm8k
model.layers.6.self_attn.k_proj.weight,0.020441167732011916,C,gsm8k
