param_name,fisher_value,dataset
model.layers.5.self_attn.k_proj.weight,0.029340019484758766,gsm8k
model.layers.18.self_attn.k_proj.weight,0.028347712162940297,gsm8k
model.layers.22.self_attn.k_proj.weight,0.027717173430573894,gsm8k
model.layers.22.self_attn.v_proj.weight,0.025429555370161932,gsm8k
model.layers.24.self_attn.k_proj.weight,0.02477782614247796,gsm8k
model.layers.14.self_attn.k_proj.weight,0.02348440410969488,gsm8k
model.layers.21.self_attn.k_proj.weight,0.022788255249300466,gsm8k
model.layers.1.mlp.down_proj.weight,0.02241749470825501,gsm8k
model.layers.3.self_attn.k_proj.weight,0.02171089913038789,gsm8k
model.layers.10.self_attn.k_proj.weight,0.021685732529779973,gsm8k
model.layers.12.self_attn.k_proj.weight,0.020589218420961213,gsm8k
model.layers.6.self_attn.k_proj.weight,0.020441167732011916,gsm8k
model.layers.8.self_attn.k_proj.weight,0.019801094273134368,gsm8k
model.layers.24.self_attn.v_proj.weight,0.019699519005371258,gsm8k
model.layers.2.mlp.down_proj.weight,0.019090716235950822,gsm8k
model.layers.25.self_attn.v_proj.weight,0.018875958005082794,gsm8k
model.layers.27.self_attn.v_proj.weight,0.016724431811477796,gsm8k
model.layers.4.self_attn.k_proj.weight,0.016443518095911713,gsm8k
model.layers.15.self_attn.o_proj.weight,0.01583628831455523,gsm8k
model.layers.10.self_attn.o_proj.weight,0.012188777088037265,gsm8k
model.layers.11.self_attn.o_proj.weight,0.01197586582323614,gsm8k
model.embed_tokens.weight,0.011495311239438403,gsm8k
model.layers.13.self_attn.o_proj.weight,0.011201459239600808,gsm8k
model.layers.7.self_attn.k_proj.weight,0.010967672134938766,gsm8k
model.layers.27.mlp.down_proj.weight,0.010692504152757465,gsm8k
model.layers.2.self_attn.k_proj.weight,0.010533624767049332,gsm8k
model.layers.27.self_attn.q_proj.weight,0.010462030059594932,gsm8k
model.layers.16.self_attn.o_proj.weight,0.01044663786857806,gsm8k
model.layers.27.mlp.up_proj.weight,0.009984026914632219,gsm8k
model.layers.27.self_attn.o_proj.weight,0.009861537151664379,gsm8k
model.layers.18.self_attn.o_proj.weight,0.009445529235866465,gsm8k
